District,X,Y
Achham,-460.7,113.4
Arghakhanchi,-159.9,-96.3
Baglung,-160.4,-17.9
Baitadi,-580.2,194.8
Bajhang,-468.5,234.4
Bajura,-414.8,213.7
Banke,-382.8,-66.0
Bara,152.6,-248.5
Bardiya,-435.3,-15.1
Bhaktapur,210.6,-143.9
Bhojpur,481.4,-236.1
Chitawan,52.5,-154.3
Dadeldhura,-589.5,139.5
Dailekh,-394.7,79.6
Dang,-268.3,-89.7
Darchula,-542.7,271.9
Dhading,126.1,-82.3
Dhankuta,517.0,-265.0
Dhanusha,309.6,-295.9
Dolakha,339.7,-116.2
Dolpa,-177.6,140.5
Doti,-530.8,135.7
Gorkha,115.4,-33.2
Gulmi,-130.1,-66.0
Humla,-373.1,290.4
Ilam,615.7,-289.5
Jajarkot,-318.7,76.8
Jhapa,610.0,-345.3
Jumla,-313.7,145.0
Kabhrepalanchok,242.7,-167.7
Kailali,-524.0,51.3
Kalikot,-396.5,140.9
Kanchanpur,-624.9,72.2
Kapilbastu,-186.5,-154.1
Kaski,-25.8,-19.9
Kathmandu,187.6,-140.2
Khotang,414.3,-239.5
Lalitpur,193.8,-167.1
Lamjung,47.1,-31.5
Mahottari,270.8,-289.6
Makawanpur,150.0,-187.7
Manang,6.3,40.5
Morang,520,-340.3
Mugu,-259.8,226.2
Mustang,-37.3,91.3
Myagdi,-108.3,17.1
Nawalparasi East,-16.1,-147.7
Nawalparasi West,-63.9,-172.4
Nuwakot,181.7,-97.4
Okhaldhunga,376.6,-206.2
Palpa,-81.2,-118.7
Panchthar,605.1,-240.9
Parbat,-65.2,-46.3
Parsa,113.2,-227.1
Pyuthan,-211.2,-61.5
Ramechhap,345.5,-169.2
Rasuwa,219.1,-51.3
Rautahat,187.3,-270.5
Rolpa,-241.3,-23.6
Rukum East,-206.5,40.4
Rukum West,-276.4,55.9
Rupandehi,-118.1,-167.0
Salyan,-317.9,-10.2
Sankhuwasabha,503.0,-167.2
Saptari,425.5,-341.0
Sarlahi,232.9,-274.2
Sindhuli,315.1,-234.2
Sindhupalchok,264.1,-100.9
Siraha,360.6,-315.9
Solukhumbu,430.7,-134.5
Sunsari,489.1,-334.7
Surkhet,-425.0,37.8
Syangja,-49.2,-75.4
Tanahu,15.1,-95.6
Taplejung,599.6,-155.6
Terhathum,551.4,-243.9
Udayapur,388.2,-280.7
